time,S&P500,strategy,FB,strategy
2016/11/8,2139.56,0,124.220001,0
2016/11/9,2163.26,-1,123.18,0
2016/11/10,2167.48,0,120.800003,-19
2016/11/11,2164.45,0,119.019997,0
2016/11/14,2164.2,1,115.080002,0
2016/11/15,2180.39,0,117.199997,0
2016/11/16,2176.94,0,116.339996,19
2016/11/17,2187.12,0,117.790001,0
2016/11/18,2181.9,-2,117.019997,0
2016/11/21,2198.18,0,121.769997,0
2016/11/22,2202.94,0,121.470001,0
2016/11/23,2204.72,0,120.839996,0
2016/11/25,2213.35,2,120.379997,0
2016/11/28,2201.72,0,120.410004,0
2016/11/29,2204.66,0,120.870003,20
2016/11/30,2198.81,0,118.419998,0
